date,balance,Type,type,price,quantity,date,Type,Metric,Value,Type,Date,Date,Open,High,Low,Close,Adj Close,Volume,bb_upper,bb_lower,kc_upper,kc_lower,chaikin,sma_100,signal_long,signal_short,buy_signal,sell_signal,Type
2023-05-22,90421.2832220147,Performance,buy,109.71900177001952,16.02699686848928,2021-09-15,Trade History,,,,,2023-05-22,137.69200134277344,138.65899658203125,137.50399780273438,137.69200134277344,137.69200134277344,0.0,138.5018669501883,132.55073314746795,138.715322636569,132.72260761971285,0.0,133.1023207092285,0.0,0.0,,,Data with Signals
2023-05-23,90442.72836555059,Performance,buy,109.38300323486328,15.754703426144133,2021-09-16,Trade History,,,,,2023-05-23,138.6719970703125,138.87600708007812,138.2530059814453,138.6719970703125,138.6719970703125,0.0,138.95046705339584,132.56093278791278,138.93672129450738,133.0636912364738,0.0,133.18110061645507,0.0,0.0,,,Data with Signals
2023-05-24,88633.87379823958,Performance,sell,109.38300323486328,15.708476416902977,2021-09-16,Trade History,,,,,2023-05-24,138.59800720214844,139.177001953125,138.24899291992188,138.59800720214844,138.59800720214844,0.0,139.2783563007771,132.72174440723074,139.08122643489284,133.4140053221184,0.0,133.25460067749023,0.0,0.0,,,Data with Signals
2023-05-25,88674.91046960861,Performance,buy,109.6989974975586,15.708399221082749,2021-09-17,Trade History,,,,,2023-05-25,139.2830047607422,139.87600708007812,139.20599365234375,139.2830047607422,139.2830047607422,0.0,139.64938133345595,132.93252021683702,139.34387196648413,133.7295291014293,0.0,133.324970703125,0.0,0.0,,,Data with Signals
2023-05-26,88759.09923864657,Performance,sell,109.6989974975586,16.019658055890236,2021-09-17,Trade History,,,,,2023-05-26,140.01699829101562,140.68099975585938,139.51400756835938,140.01699829101562,140.01699829101562,0.0,140.12739297660343,133.07600820747862,139.67426399646183,134.062050929939,0.0,133.39207061767578,0.0,0.0,,,Data with Signals
2023-05-29,90645.23400996941,Performance,buy,109.97100067138672,15.675755717075651,2021-09-20,Trade History,,,,,2023-05-29,140.87100219726562,140.9010009765625,140.1199951171875,140.87100219726562,140.87100219726562,0.0,140.80909467128754,132.84280657382965,139.95662052711873,134.54214101529453,0.0,133.48216064453126,0.0,0.0,,,Data with Signals
2023-05-30,90637.21472587576,Performance,sell,109.97100067138672,15.943456663681848,2021-09-20,Trade History,,,,,2023-05-30,140.4409942626953,140.9029998779297,139.5800018310547,140.4409942626953,140.4409942626953,0.0,141.24948055222984,132.69442050978188,140.2547509870546,134.85193693468983,0.0,133.5692805480957,0.0,0.0,,,Data with Signals
2023-05-31,88824.47043135825,Performance,sell,109.97100067138672,15.698993344302819,2021-09-20,Trade History,,,,,2023-05-31,139.79200744628906,140.34100341796875,139.3159942626953,139.79200744628906,139.79200744628906,0.0,141.57964553128377,132.69685593356,140.42496588793406,135.1081341262707,0.0,133.64619064331055,0.0,0.0,,,Data with Signals
2023-06-01,88837.31413890715,Performance,buy,109.43699645996094,16.073138576151273,2021-09-21,Trade History,,,,,2023-06-01,139.1269989013672,139.9459991455078,138.4969940185547,139.1269989013672,139.1269989013672,0.0,141.72181795861619,133.01298276159864,140.57735096101402,135.21488217590786,0.0,133.7184407043457,0.0,0.0,,,Data with Signals
2023-06-02,88869.98469137754,Performance,sell,109.43699645996094,15.635644203281458,2021-09-21,Trade History,,,,,2023-06-02,138.7480010986328,139.7969970703125,138.61000061035156,138.7480010986328,138.7480010986328,0.0,141.7310926128918,133.4606081317371,140.62922172839885,135.32527512855577,0.0,133.81420074462892,0.0,0.0,,,Data with Signals
2023-06-05,90698.34351698923,Performance,buy,109.14900207519533,16.106775276285845,2021-09-22,Trade History,,,,,2023-06-05,140.20700073242188,140.44500732421875,139.25599670410156,140.20700073242188,140.20700073242188,0.0,141.97711882672738,133.7153814784484,140.91224948603644,135.46696209547906,0.0,133.9360107421875,0.0,0.0,,,Data with Signals
2023-06-06,90658.32672237293,Performance,buy,109.8219985961914,15.687910447066447,2021-09-23,Trade History,,,,,2023-06-06,139.38299560546875,139.96099853515625,139.11700439453125,139.38299560546875,139.38299560546875,0.0,142.038236806864,134.08526325417114,140.97422460939012,135.63229931778463,0.0,134.0466307067871,0.0,0.0,,,Data with Signals
2023-06-07,88845.16018792547,Performance,sell,109.8219985961914,15.685881062793804,2021-09-23,Trade History,,,,,2023-06-07,139.52699279785156,140.0260009765625,139.04299926757812,139.52699279785156,139.52699279785156,0.0,142.0846577315695,134.46274217077422,141.02363142905014,135.8159840856035,0.0,134.15909057617188,0.0,0.0,,,Data with Signals
